County,Date,New Cases,New Positive Tests,Total Test Encounters
Kauai,3/13/2020,2,2,2
Kauai,3/14/2020,0,0,1
Kauai,3/15/2020,0,0,1
Kauai,3/16/2020,0,0,23
Kauai,3/17/2020,0,0,35
Kauai,3/18/2020,0,0,8
Kauai,3/19/2020,1,1,105
Kauai,3/20/2020,0,0,45
Kauai,3/21/2020,0,0,21
Kauai,3/22/2020,1,1,58
Kauai,3/23/2020,0,0,49
Kauai,3/24/2020,1,1,7
Kauai,3/25/2020,0,0,27
Kauai,3/26/2020,0,0,31
Kauai,3/27/2020,6,6,89
Kauai,3/28/2020,1,1,35
Kauai,3/29/2020,0,0,23
Kauai,3/30/2020,0,0,8
Kauai,3/31/2020,0,0,46
Kauai,4/1/2020,1,1,74
Kauai,4/2/2020,2,2,49
Kauai,4/3/2020,0,0,44
